order_id,item_id,item_name,qtt,InsertTime
17045374,6517,תשיעיית גרבי גברים 42-45 - אריזת חיסכון,1,2024-03-10 13:18:52.670
17035579,805,שישיית גרביונים בצבע לבן 70 דנייר מידה 6-8,1,2024-03-10 13:18:52.670
17050033,5611,שישיית גרביונים לנשים 40 דנייר ויזון - colanta -מידה XL,1,2024-03-10 13:18:52.670
17036189,5615,שישיית גרביונים לנשים 40 דנייר שחור - colanta -מידה XL,1,2024-03-10 13:18:52.670
17043241,5610,שישיית גרביונים לנשים 40 דנייר ויזון - colanta -מידה L,1,2024-03-10 13:18:52.670
17052721,8086,זוג טייץ אטום שחור לנשים - מידה m,1,2024-03-10 13:18:52.670
17042855,8253,חפתים בקופסא דגם עגול כסף,1,2024-03-10 13:18:52.670
17042855,8254,חפתים בקופסא דגם עגול מושחר עם כסף,1,2024-03-10 13:18:52.670
17042855,8255,חפתים בקופסא דגם עגול זהב עם שחור,1,2024-03-10 13:18:52.670
17042855,8257,שעון יד מחוגים לגבר כסוף עם רקע לבן ורצועה שחורה - Q&Q,1,2024-03-10 13:18:52.670
17079030,7448,שתי זוגות גרביון לבן 70 דנייר דיגום עדין  collanta מידה 1-2,1,2024-03-10 13:18:52.670
17079030,2090,ציצית מוכנה לגברים מידה 9,1,2024-03-10 13:18:52.670
17063852,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17063852,1953,זוג ציציות מוכנות לילדים מידה 3,1,2024-03-10 13:18:52.670
17056858,6161,שישיית גרביוני כותנה לבן בדיגום עדין מידה 9-10,1,2024-03-10 13:18:52.670
17056858,759,שישיית גרביונים בצבע שחור 70 דנייר מידה 10-12,1,2024-03-10 13:18:52.670
17056858,8252,חפתים בקופסא דגם עגול זהב,1,2024-03-10 13:18:52.670
17081545,8084,מטפחת מרובעת חלקה עם סיומת פרנזים  - חום כהה,1,2024-03-10 13:18:52.670
17065066,1952,זוג ציציות מוכנות לילדים מידה 6,1,2024-03-10 13:18:52.670
17068979,8252,חפתים בקופסא דגם עגול זהב,3,2024-03-10 13:18:52.670
